"ensembl_transcript_id","ensembl_gene_id","X","X3UTR_chrom","X3UTR_start","X3UTR_end","external_gene_name","description"
"ENST00000431206","ENSG00000185627",28,"chr11",252600,252981,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000431206","ENSG00000185627",29,"chr11",252600,252981,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000431206","ENSG00000185627",33,"chr11",252600,252981,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000431206","ENSG00000185627",30,"chr11",252600,252981,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000431206","ENSG00000185627",24,"chr11",252600,252981,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000532097","ENSG00000185627",23,"chr11",252600,252984,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000532097","ENSG00000185627",22,"chr11",252600,252984,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000532097","ENSG00000185627",14,"chr11",252600,252984,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000532097","ENSG00000185627",19,"chr11",252600,252984,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000532097","ENSG00000185627",31,"chr11",252600,252984,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000651543","ENSG00000286001",34,"chr5",256333,256455,"","novel protein"
"ENST00000264932","ENSG00000073578",37,"chr5",256420,257082,"SDHA","succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]"
"ENST00000504309","ENSG00000073578",35,"chr5",256420,256682,"SDHA","succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]"
"ENST00000510361","ENSG00000073578",38,"chr5",256420,256679,"SDHA","succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680]"
"ENST00000313766","ENSG00000177706",39,"chr7",259980,260772,"FAM20C","FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]"
"ENST00000301678","ENSG00000167930",44,"chr16",265022,266120,"FAM234A","family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163]"
"ENST00000301678","ENSG00000167930",42,"chr16",265022,266120,"FAM234A","family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163]"
"ENST00000301678","ENSG00000167930",40,"chr16",265022,266120,"FAM234A","family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163]"
"ENST00000301678","ENSG00000167930",41,"chr16",265022,266120,"FAM234A","family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163]"
"ENST00000399932","ENSG00000167930",45,"chr16",265022,266096,"FAM234A","family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163]"
"ENST00000399932","ENSG00000167930",47,"chr16",265022,266096,"FAM234A","family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163]"
"ENST00000399932","ENSG00000167930",46,"chr16",265022,266096,"FAM234A","family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163]"
"ENST00000399932","ENSG00000167930",43,"chr16",265022,266096,"FAM234A","family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163]"
"ENST00000399788","ENSG00000073614",52,"chr12",280056,285455,"KDM5A","lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]"
"ENST00000399788","ENSG00000073614",55,"chr12",280056,285455,"KDM5A","lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]"
"ENST00000399788","ENSG00000073614",50,"chr12",280056,285455,"KDM5A","lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]"
"ENST00000399788","ENSG00000073614",53,"chr12",280056,285455,"KDM5A","lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]"
"ENST00000399788","ENSG00000073614",49,"chr12",280056,285455,"KDM5A","lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]"
"ENST00000399788","ENSG00000073614",48,"chr12",280056,285455,"KDM5A","lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]"
"ENST00000399788","ENSG00000073614",54,"chr12",280056,285455,"KDM5A","lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]"
"ENST00000399788","ENSG00000073614",51,"chr12",280056,285455,"KDM5A","lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886]"
"ENST00000262320","ENSG00000103126",58,"chr16",287439,288121,"AXIN1","axin 1 [Source:HGNC Symbol;Acc:HGNC:903]"
"ENST00000262320","ENSG00000103126",56,"chr16",287439,288121,"AXIN1","axin 1 [Source:HGNC Symbol;Acc:HGNC:903]"
"ENST00000262320","ENSG00000103126",57,"chr16",287439,288121,"AXIN1","axin 1 [Source:HGNC Symbol;Acc:HGNC:903]"
"ENST00000262320","ENSG00000103126",59,"chr16",287439,288121,"AXIN1","axin 1 [Source:HGNC Symbol;Acc:HGNC:903]"
"ENST00000354866","ENSG00000103126",63,"chr16",287440,288121,"AXIN1","axin 1 [Source:HGNC Symbol;Acc:HGNC:903]"
"ENST00000354866","ENSG00000103126",60,"chr16",287440,288121,"AXIN1","axin 1 [Source:HGNC Symbol;Acc:HGNC:903]"
"ENST00000354866","ENSG00000103126",61,"chr16",287440,288121,"AXIN1","axin 1 [Source:HGNC Symbol;Acc:HGNC:903]"
"ENST00000354866","ENSG00000103126",62,"chr16",287440,288121,"AXIN1","axin 1 [Source:HGNC Symbol;Acc:HGNC:903]"
"ENST00000409479","ENSG00000142102",64,"chr11",294749,295258,"PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]"
"ENST00000409548","ENSG00000142102",68,"chr11",294749,296107,"PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]"
"ENST00000409548","ENSG00000142102",70,"chr11",294749,296107,"PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]"
"ENST00000409548","ENSG00000142102",69,"chr11",294749,296107,"PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]"
"ENST00000409655","ENSG00000142102",67,"chr11",294749,295676,"PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]"
"ENST00000409655","ENSG00000142102",66,"chr11",294749,295676,"PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]"
"ENST00000409655","ENSG00000142102",65,"chr11",294749,295676,"PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]"
"ENST00000500893","ENSG00000247315",77,"chr20",298798,300321,"ZCCHC3","zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]"
"ENST00000500893","ENSG00000247315",79,"chr20",298798,300321,"ZCCHC3","zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]"
"ENST00000500893","ENSG00000247315",74,"chr20",298798,300321,"ZCCHC3","zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]"
"ENST00000500893","ENSG00000247315",71,"chr20",298798,300321,"ZCCHC3","zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]"
"ENST00000500893","ENSG00000247315",72,"chr20",298798,300321,"ZCCHC3","zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]"
"ENST00000500893","ENSG00000247315",73,"chr20",298798,300321,"ZCCHC3","zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]"
"ENST00000500893","ENSG00000247315",80,"chr20",298798,300321,"ZCCHC3","zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]"
"ENST00000500893","ENSG00000247315",75,"chr20",298798,300321,"ZCCHC3","zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]"
"ENST00000500893","ENSG00000247315",76,"chr20",298798,300321,"ZCCHC3","zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]"
"ENST00000500893","ENSG00000247315",78,"chr20",298798,300321,"ZCCHC3","zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230]"
"ENST00000264819","ENSG00000105556",81,"chr19",305572,306689,"MIER2","MIER family member 2 [Source:HGNC Symbol;Acc:HGNC:29210]"
"ENST00000651543","ENSG00000286001",89,"chr5",314416,314955,"","novel protein"
"ENST00000651543","ENSG00000286001",84,"chr5",314416,314955,"","novel protein"
"ENST00000651543","ENSG00000286001",82,"chr5",314416,314955,"","novel protein"
"ENST00000651543","ENSG00000286001",83,"chr5",314416,314955,"","novel protein"
"ENST00000505221","ENSG00000249915",93,"chr5",314418,314806,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000505221","ENSG00000249915",91,"chr5",314418,314806,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000505221","ENSG00000249915",92,"chr5",314418,314806,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000505221","ENSG00000249915",90,"chr5",314418,314806,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000264933","ENSG00000249915",99,"chr5",314515,314974,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000264933","ENSG00000249915",108,"chr5",314515,314974,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000264933","ENSG00000249915",104,"chr5",314515,314974,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000264933","ENSG00000249915",98,"chr5",314515,314974,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000507528","ENSG00000249915",109,"chr5",314515,314969,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000507528","ENSG00000249915",97,"chr5",314515,314969,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000507528","ENSG00000249915",103,"chr5",314515,314969,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000507528","ENSG00000249915",96,"chr5",314515,314969,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000614778","ENSG00000249915",100,"chr5",314515,314974,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000614778","ENSG00000249915",94,"chr5",314515,314974,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000614778","ENSG00000249915",105,"chr5",314515,314974,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000614778","ENSG00000249915",107,"chr5",314515,314974,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000618970","ENSG00000249915",101,"chr5",314515,314974,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000618970","ENSG00000249915",106,"chr5",314515,314974,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000618970","ENSG00000249915",95,"chr5",314515,314974,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000618970","ENSG00000249915",102,"chr5",314515,314974,"PDCD6","programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765]"
"ENST00000342665","ENSG00000177732",110,"chr20",326872,330224,"SOX12","SRY-box transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11198]"
"ENST00000342665","ENSG00000177732",111,"chr20",326872,330224,"SOX12","SRY-box transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11198]"
"ENST00000605035","ENSG00000112679",112,"chr6",348289,349057,"DUSP22","dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077]"
"ENST00000419235","ENSG00000112679",113,"chr6",348951,351355,"DUSP22","dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077]"
"ENST00000604971","ENSG00000112679",115,"chr6",348951,351353,"DUSP22","dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077]"
"ENST00000605315","ENSG00000112679",114,"chr6",348951,349102,"DUSP22","dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077]"
"ENST00000199706","ENSG00000086504",119,"chr16",366968,367674,"MRPL28","mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484]"
"ENST00000199706","ENSG00000086504",117,"chr16",366968,367674,"MRPL28","mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484]"
"ENST00000648346","ENSG00000086504",116,"chr16",366968,367674,"MRPL28","mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484]"
"ENST00000648346","ENSG00000086504",118,"chr16",366968,367674,"MRPL28","mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484]"
"ENST00000389675","ENSG00000086504",120,"chr16",367612,367674,"MRPL28","mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484]"
"ENST00000431232","ENSG00000129925",121,"chr16",370787,371986,"PGAP6","post-GPI attachment to proteins 6 [Source:HGNC Symbol;Acc:HGNC:17205]"
"ENST00000431232","ENSG00000129925",122,"chr16",370787,371986,"PGAP6","post-GPI attachment to proteins 6 [Source:HGNC Symbol;Acc:HGNC:17205]"
"ENST00000217233","ENSG00000101255",123,"chr20",396690,397559,"TRIB3","tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]"
"ENST00000331563","ENSG00000184363",128,"chr11",404569,404908,"PKP3","plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]"
"ENST00000331563","ENSG00000184363",126,"chr11",404569,404908,"PKP3","plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]"
"ENST00000331563","ENSG00000184363",127,"chr11",404569,404908,"PKP3","plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]"
"ENST00000331563","ENSG00000184363",124,"chr11",404569,404908,"PKP3","plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]"
"ENST00000331563","ENSG00000184363",125,"chr11",404569,404908,"PKP3","plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025]"
"ENST00000354200","ENSG00000125875",129,"chr20",435479,438585,"TBC1D20","TBC1 domain family member 20 [Source:HGNC Symbol;Acc:HGNC:16133]"
"ENST00000681129","ENSG00000125875",130,"chr20",435491,438585,"TBC1D20","TBC1 domain family member 20 [Source:HGNC Symbol;Acc:HGNC:16133]"
"ENST00000681414","ENSG00000125875",131,"chr20",435491,438585,"TBC1D20","TBC1 domain family member 20 [Source:HGNC Symbol;Acc:HGNC:16133]"
"ENST00000679895","ENSG00000125875",132,"chr20",435496,438585,"TBC1D20","TBC1 domain family member 20 [Source:HGNC Symbol;Acc:HGNC:16133]"
"ENST00000681551","ENSG00000125875",133,"chr20",435501,438585,"TBC1D20","TBC1 domain family member 20 [Source:HGNC Symbol;Acc:HGNC:16133]"
"ENST00000382329","ENSG00000107099",138,"chr9",464219,465255,"DOCK8","dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191]"
"ENST00000382329","ENSG00000107099",137,"chr9",464219,465255,"DOCK8","dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191]"
"ENST00000432829","ENSG00000107099",135,"chr9",464219,465255,"DOCK8","dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191]"
"ENST00000432829","ENSG00000107099",136,"chr9",464219,465255,"DOCK8","dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191]"
"ENST00000453981","ENSG00000107099",140,"chr9",464219,465259,"DOCK8","dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191]"
"ENST00000453981","ENSG00000107099",139,"chr9",464219,465259,"DOCK8","dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191]"
"ENST00000469391","ENSG00000107099",134,"chr9",464219,464526,"DOCK8","dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191]"
"ENST00000217244","ENSG00000101266",143,"chr20",472497,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000217244","ENSG00000101266",145,"chr20",472497,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000217244","ENSG00000101266",146,"chr20",472497,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000217244","ENSG00000101266",141,"chr20",472497,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000646561","ENSG00000101266",148,"chr20",472497,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000646561","ENSG00000101266",147,"chr20",472497,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000646561","ENSG00000101266",144,"chr20",472497,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000646561","ENSG00000101266",142,"chr20",472497,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000349736","ENSG00000101266",150,"chr20",481109,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000349736","ENSG00000101266",149,"chr20",481109,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000349736","ENSG00000101266",152,"chr20",481109,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000349736","ENSG00000101266",151,"chr20",481109,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000646305","ENSG00000101266",156,"chr20",481191,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000646305","ENSG00000101266",154,"chr20",481191,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000646305","ENSG00000101266",153,"chr20",481191,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000646305","ENSG00000101266",155,"chr20",481191,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000645260","ENSG00000101266",158,"chr20",481622,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000645260","ENSG00000101266",157,"chr20",481622,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000642689","ENSG00000101266",159,"chr20",482710,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000645234","ENSG00000101266",160,"chr20",482714,484019,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000646814","ENSG00000101266",161,"chr20",482721,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000644885","ENSG00000101266",163,"chr20",482723,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000646477","ENSG00000101266",162,"chr20",482723,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000644710","ENSG00000101266",164,"chr20",482747,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000644003","ENSG00000101266",165,"chr20",482886,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000647026","ENSG00000101266",166,"chr20",483389,483960,"CSNK2A1","casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]"
"ENST00000215574","ENSG00000099804",167,"chr19",541552,542087,"CDC34","cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]"
"ENST00000397582","ENSG00000099849",169,"chr11",563380,564012,"RASSF7","Ras association domain family member 7 [Source:HGNC Symbol;Acc:HGNC:1166]"
"ENST00000431809","ENSG00000099849",168,"chr11",563380,563993,"RASSF7","Ras association domain family member 7 [Source:HGNC Symbol;Acc:HGNC:1166]"
"ENST00000454668","ENSG00000099849",170,"chr11",563569,564021,"RASSF7","Ras association domain family member 7 [Source:HGNC Symbol;Acc:HGNC:1166]"
"ENST00000397583","ENSG00000099849",171,"chr11",563645,564025,"RASSF7","Ras association domain family member 7 [Source:HGNC Symbol;Acc:HGNC:1166]"
"ENST00000470411","ENSG00000007541",172,"chr16",576049,577217,"PIGQ","phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]"
"ENST00000333511","ENSG00000172270",216,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000333511","ENSG00000172270",199,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000333511","ENSG00000172270",215,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000333511","ENSG00000172270",173,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000346916","ENSG00000172270",195,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000346916","ENSG00000172270",213,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000346916","ENSG00000172270",214,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000346916","ENSG00000172270",212,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000353555","ENSG00000172270",202,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000353555","ENSG00000172270",201,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000353555","ENSG00000172270",211,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000353555","ENSG00000172270",200,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000545507","ENSG00000172270",208,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000545507","ENSG00000172270",197,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
"ENST00000545507","ENSG00000172270",198,"chr19",582749,583493,"BSG","basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]"
