,index,DDX6_chrom,DDX6_start,DDX6_end,strand,confidence_score,sample_or_tissue_used
112,112,chr6,348980,349030,+,3.189448735,HepG2
113,113,chr6,348980,349030,+,3.189448735,HepG2
114,114,chr6,348980,349030,+,3.189448735,HepG2
115,115,chr6,348980,349030,+,3.189448735,HepG2
116,116,chr16,367445,367669,-,9.550521601,K562
117,117,chr16,367445,367669,-,9.550521601,K562
118,118,chr16,367475,367543,-,4.782928436,K562
119,119,chr16,367475,367543,-,4.782928436,K562
120,120,chr16,367445,367669,-,9.550521601,K562
121,121,chr16,371174,371217,-,5.340467232,HepG2
122,122,chr16,371091,371155,-,7.013993118,HepG2
123,123,chr20,396849,396893,+,3.36069115,K562
124,124,chr11,404583,404644,+,22.27068939,K562
125,125,chr11,404576,404653,+,11.2539733,K562
126,126,chr11,404726,404874,+,400.0,K562
127,127,chr11,404823,404891,+,34.19218095,K562
128,128,chr11,404750,404823,+,33.28908758,K562
129,129,chr20,438126,438188,-,3.189448735,HepG2
130,130,chr20,438126,438188,-,3.189448735,HepG2
131,131,chr20,438126,438188,-,3.189448735,HepG2
132,132,chr20,438126,438188,-,3.189448735,HepG2
133,133,chr20,438126,438188,-,3.189448735,HepG2
134,134,chr9,464414,464509,+,7.678728501,K562
135,135,chr9,464414,464509,+,7.678728501,K562
136,136,chr9,464846,464919,+,3.805119784,K562
137,137,chr9,464414,464509,+,7.678728501,K562
138,138,chr9,464846,464919,+,3.805119784,K562
139,139,chr9,464414,464509,+,7.678728501,K562
140,140,chr9,464846,464919,+,3.805119784,K562
141,141,chr20,481382,481483,-,7.958015499,K562
142,142,chr20,481382,481483,-,7.958015499,K562
143,143,chr20,483539,483580,-,5.2156211,HepG2
144,144,chr20,481389,481487,-,11.96066521,K562
145,145,chr20,482600,482655,-,5.050337254,HepG2
146,146,chr20,481389,481487,-,11.96066521,K562
147,147,chr20,482600,482655,-,5.050337254,HepG2
148,148,chr20,483539,483580,-,5.2156211,HepG2
149,149,chr20,481382,481483,-,7.958015499,K562
150,150,chr20,482600,482655,-,5.050337254,HepG2
151,151,chr20,481389,481487,-,11.96066521,K562
152,152,chr20,483539,483580,-,5.2156211,HepG2
153,153,chr20,481382,481483,-,7.958015499,K562
154,154,chr20,483539,483580,-,5.2156211,HepG2
155,155,chr20,481389,481487,-,11.96066521,K562
156,156,chr20,482600,482655,-,5.050337254,HepG2
157,157,chr20,482600,482655,-,5.050337254,HepG2
158,158,chr20,483539,483580,-,5.2156211,HepG2
159,159,chr20,483539,483580,-,5.2156211,HepG2
160,160,chr20,483539,483580,-,5.2156211,HepG2
161,161,chr20,483539,483580,-,5.2156211,HepG2
162,162,chr20,483539,483580,-,5.2156211,HepG2
163,163,chr20,483539,483580,-,5.2156211,HepG2
164,164,chr20,483539,483580,-,5.2156211,HepG2
165,165,chr20,483539,483580,-,5.2156211,HepG2
166,166,chr20,483539,483580,-,5.2156211,HepG2
167,167,chr19,541756,541814,+,5.419897543,K562
168,168,chr11,563832,563919,+,3.540116796,K562
169,169,chr11,563832,563919,+,3.540116796,K562
170,170,chr11,563832,563919,+,3.540116796,K562
171,171,chr11,563832,563919,+,3.540116796,K562
172,172,chr16,576424,576451,+,3.693916752,HepG2
173,173,chr19,583004,583076,+,20.33863224,K562
174,174,chr19,583007,583053,+,15.91335548,K562
175,175,chr19,583289,583372,+,25.25788787,K562
176,176,chr19,583362,583369,+,6.099840782,K562
177,177,chr19,583004,583076,+,20.33863224,K562
178,178,chr19,583007,583053,+,15.91335548,K562
179,179,chr19,583289,583372,+,25.25788787,K562
180,180,chr19,583362,583369,+,6.099840782,K562
181,181,chr19,583004,583076,+,20.33863224,K562
182,182,chr19,583007,583053,+,15.91335548,K562
183,183,chr19,583289,583372,+,25.25788787,K562
184,184,chr19,583004,583076,+,20.33863224,K562
185,185,chr19,583007,583053,+,15.91335548,K562
186,186,chr19,583289,583372,+,25.25788787,K562
187,187,chr19,583362,583369,+,6.099840782,K562
188,188,chr19,583004,583076,+,20.33863224,K562
189,189,chr19,583007,583053,+,15.91335548,K562
190,190,chr19,583289,583372,+,25.25788787,K562
191,191,chr19,583362,583369,+,6.099840782,K562
192,192,chr19,583004,583076,+,20.33863224,K562
193,193,chr19,583362,583369,+,6.099840782,K562
194,194,chr19,583362,583369,+,6.099840782,K562
195,195,chr19,583362,583369,+,6.099840782,K562
196,196,chr19,583004,583076,+,20.33863224,K562
197,197,chr19,583007,583053,+,15.91335548,K562
198,198,chr19,583289,583372,+,25.25788787,K562
199,199,chr19,583362,583369,+,6.099840782,K562
200,200,chr19,583004,583076,+,20.33863224,K562
201,201,chr19,583007,583053,+,15.91335548,K562
202,202,chr19,583289,583372,+,25.25788787,K562
203,203,chr19,583289,583372,+,25.25788787,K562
204,204,chr19,583362,583369,+,6.099840782,K562
205,205,chr19,583004,583076,+,20.33863224,K562
206,206,chr19,583007,583053,+,15.91335548,K562
207,207,chr19,583289,583372,+,25.25788787,K562
208,208,chr19,583362,583369,+,6.099840782,K562
209,209,chr19,583004,583076,+,20.33863224,K562
210,210,chr19,583007,583053,+,15.91335548,K562
211,211,chr19,583362,583369,+,6.099840782,K562
212,212,chr19,583004,583076,+,20.33863224,K562
213,213,chr19,583007,583053,+,15.91335548,K562
214,214,chr19,583289,583372,+,25.25788787,K562
215,215,chr19,583007,583053,+,15.91335548,K562
216,216,chr19,583289,583372,+,25.25788787,K562
217,217,chr19,583007,583053,+,15.91335548,K562
218,218,chr19,583004,583076,+,20.33863224,K562
219,219,chr19,583362,583369,+,6.099840782,K562
220,220,chr19,583289,583372,+,25.25788787,K562
221,221,chr11,611889,611963,+,4.105895486,K562
222,222,chr11,611889,611963,+,4.105895486,K562
223,223,chr11,611889,611963,+,4.105895486,K562
224,224,chr11,611889,611963,+,4.105895486,K562
225,225,chr16,627707,627758,+,3.178734411,K562
226,226,chr16,627707,627758,+,3.178734411,K562
227,227,chr16,628982,629088,+,3.540116796,K562
228,228,chr16,628982,629088,+,3.540116796,K562
229,229,chr16,628982,629088,+,3.540116796,K562
230,230,chr16,627707,627758,+,3.178734411,K562
231,231,chr16,628982,629088,+,3.540116796,K562
232,232,chr16,627707,627758,+,3.178734411,K562
233,233,chr11,644266,644333,-,5.858969044,K562
234,234,chr11,644266,644333,-,5.858969044,K562
235,235,chr20,648676,648709,-,3.199661376,HepG2
236,236,chr20,648676,648709,-,3.199661376,HepG2
237,237,chr18,673423,673458,+,4.628865613,K562
238,238,chr18,673423,673458,+,4.628865613,K562
239,239,chr18,673423,673458,+,4.628865613,K562
240,240,chr16,673896,673927,+,3.36069115,K562
241,241,chr16,673960,674047,+,9.018480385,K562
242,242,chr16,722421,722513,+,4.017282261,K562
243,243,chr16,729537,729665,+,7.148528716,K562
244,244,chr16,729537,729665,+,7.148528716,K562
245,245,chr16,729537,729665,+,7.148528716,K562
246,246,chr16,729537,729665,+,7.148528716,K562
247,247,chr9,745291,745325,+,3.199661376,HepG2
248,248,chr9,745260,745414,+,17.64247564,HepG2
249,249,chr9,745291,745325,+,3.199661376,HepG2
250,250,chr9,745291,745325,+,3.199661376,HepG2
251,251,chr9,745260,745414,+,17.64247564,HepG2
252,252,chr9,745260,745414,+,17.64247564,HepG2
253,253,chr9,745291,745325,+,3.199661376,HepG2
254,254,chr9,745260,745414,+,17.64247564,HepG2
255,255,chr9,745291,745325,+,3.199661376,HepG2
256,256,chr9,745260,745414,+,17.64247564,HepG2
257,257,chr17,760137,760216,-,3.610284393,K562
258,258,chr17,759468,759542,-,7.061832456,K562
259,259,chr17,760137,760216,-,3.610284393,K562
260,260,chr17,759468,759542,-,7.061832456,K562
261,261,chr17,759468,759542,-,7.061832456,K562
262,262,chr17,760137,760216,-,3.610284393,K562
263,263,chr4,766943,767011,+,4.007253545,HepG2
264,264,chr4,770249,770313,-,5.046799405,K562
265,265,chr11,770447,770522,-,6.577553636,K562
266,266,chr11,770447,770522,-,6.577553636,K562
267,267,chr11,791173,791227,-,3.96221267,HepG2
268,268,chr11,791173,791227,-,3.96221267,HepG2
269,269,chr10,812007,812048,-,3.610284393,K562
270,270,chr10,812490,812540,-,3.882310524,HepG2
271,271,chr19,812037,812085,+,14.34013132,K562
272,272,chr19,812037,812085,+,14.34013132,K562
273,273,chr19,812037,812085,+,14.34013132,K562
274,274,chr19,812037,812085,+,14.34013132,K562
275,275,chr19,812037,812085,+,14.34013132,K562
276,276,chr19,812037,812085,+,14.34013132,K562
277,277,chr19,812037,812085,+,14.34013132,K562
278,278,chr19,812508,812544,-,3.36069115,K562
279,279,chr19,812508,812544,-,3.36069115,K562
280,280,chr11,838424,838467,+,3.189448735,HepG2
281,281,chr11,838424,838467,+,3.189448735,HepG2
282,282,chr11,838424,838467,+,3.189448735,HepG2
283,283,chr11,838424,838467,+,3.189448735,HepG2
284,284,chr4,849346,849454,-,5.347881548,K562
285,285,chr4,849346,849454,-,5.347881548,K562
286,286,chr11,866902,866969,+,3.957620614,K562
287,287,chr11,866900,866955,+,7.72283998,K562
288,288,chr11,866900,866955,+,7.72283998,K562
289,289,chr11,866902,866969,+,3.957620614,K562
290,290,chr11,866900,866955,+,7.72283998,K562
291,291,chr11,866902,866969,+,3.957620614,K562
292,292,chr11,866900,866955,+,7.72283998,K562
293,293,chr11,866902,866969,+,3.957620614,K562
294,294,chr11,866902,866969,+,3.957620614,K562
295,295,chr11,866900,866955,+,7.72283998,K562
296,296,chr11,866902,866969,+,3.957620614,K562
297,297,chr11,866900,866955,+,7.72283998,K562
298,298,chr11,868687,868795,-,4.661830076,K562
299,299,chr11,868812,868857,-,3.199661376,HepG2
300,300,chr11,868687,868795,-,4.661830076,K562
301,301,chr11,868812,868857,-,3.199661376,HepG2
302,302,chr11,868687,868795,-,4.661830076,K562
303,303,chr11,868812,868857,-,3.199661376,HepG2
304,304,chr7,874774,874854,+,3.476468913,HepG2
305,305,chr7,873362,873438,+,11.18696566,K562
306,306,chr7,874511,874602,+,10.4184144,K562
307,307,chr7,873365,873409,+,3.991571025,K562
308,308,chr7,873362,873438,+,11.18696566,K562
309,309,chr7,874774,874854,+,3.476468913,HepG2
310,310,chr7,874511,874602,+,10.4184144,K562
311,311,chr7,873365,873409,+,3.991571025,K562
312,312,chr7,874511,874602,+,10.4184144,K562
313,313,chr7,874511,874602,+,10.4184144,K562
314,314,chr7,873365,873409,+,3.991571025,K562
315,315,chr7,873362,873438,+,11.18696566,K562
316,316,chr7,874774,874854,+,3.476468913,HepG2
317,317,chr7,874511,874602,+,10.4184144,K562
318,318,chr7,873365,873409,+,3.991571025,K562
319,319,chr7,873362,873438,+,11.18696566,K562
320,320,chr7,874774,874854,+,3.476468913,HepG2
321,321,chr7,874774,874854,+,3.476468913,HepG2
322,322,chr7,873365,873409,+,3.991571025,K562
323,323,chr7,873362,873438,+,11.18696566,K562
324,324,chr7,896327,896364,+,3.178734411,K562
325,325,chr7,896327,896364,+,3.178734411,K562
326,326,chr7,895554,895602,+,3.540116796,K562
327,327,chr7,895554,895602,+,3.540116796,K562
328,328,chr19,896911,896973,-,65.53073777,K562
329,329,chr19,896707,896755,-,5.268668342,HepG2
330,330,chr19,896996,897038,-,15.77031816,K562
331,331,chr19,896717,896758,-,18.69738772,K562
332,332,chr19,896923,896947,-,3.016910938,HepG2
333,333,chr19,896911,896969,-,16.46922419,K562
334,334,chr19,896857,896911,-,58.65317777,K562
335,335,chr19,896853,896911,-,36.22445508,K562
336,336,chr19,896625,896695,-,50.20453015,K562
337,337,chr19,896625,896695,-,50.20453015,K562
338,338,chr19,896923,896947,-,3.016910938,HepG2
339,339,chr19,896996,897038,-,15.77031816,K562
340,340,chr19,896707,896755,-,5.268668342,HepG2
341,341,chr19,896717,896758,-,18.69738772,K562
342,342,chr19,896857,896911,-,58.65317777,K562
343,343,chr19,896853,896911,-,36.22445508,K562
344,344,chr19,896911,896969,-,16.46922419,K562
345,345,chr19,896911,896973,-,65.53073777,K562
346,346,chr12,908857,908890,+,3.016910938,HepG2
347,347,chr12,910901,910958,+,5.766439673,K562
348,348,chr12,910131,910230,+,12.57826449,HepG2
349,349,chr12,910901,910958,+,5.766439673,K562
350,350,chr12,908857,908890,+,3.016910938,HepG2
351,351,chr12,910131,910230,+,12.57826449,HepG2
352,352,chr12,910901,910958,+,5.766439673,K562
353,353,chr12,908857,908890,+,3.016910938,HepG2
354,354,chr12,909428,909472,+,3.189448735,HepG2
355,355,chr12,910131,910230,+,12.57826449,HepG2
356,356,chr12,909428,909472,+,3.189448735,HepG2
357,357,chr12,910131,910230,+,12.57826449,HepG2
358,358,chr12,909428,909472,+,3.189448735,HepG2
359,359,chr12,910131,910230,+,12.57826449,HepG2
360,360,chr12,910901,910958,+,5.766439673,K562
361,361,chr12,908857,908890,+,3.016910938,HepG2
362,362,chr12,910901,910958,+,5.766439673,K562
363,363,chr12,909428,909472,+,3.189448735,HepG2
364,364,chr12,909428,909472,+,3.189448735,HepG2
365,365,chr12,910901,910958,+,5.766439673,K562
366,366,chr12,908857,908890,+,3.016910938,HepG2
367,367,chr12,910131,910230,+,12.57826449,HepG2
368,368,chr12,909428,909472,+,3.189448735,HepG2
369,369,chr12,908857,908890,+,3.016910938,HepG2
370,370,chr5,917887,917931,+,4.661193622,K562
371,371,chr1,944222,944262,-,3.424169967,K562
372,372,chr1,944222,944262,-,3.424169967,K562
373,373,chr1,944236,944258,-,3.957620614,K562
374,374,chr1,944222,944262,-,3.424169967,K562
375,375,chr1,944236,944258,-,3.957620614,K562
376,376,chr1,944236,944258,-,3.957620614,K562
377,377,chr1,944596,944651,-,4.367798095,K562
378,378,chr1,944236,944258,-,3.957620614,K562
379,379,chr1,944222,944262,-,3.424169967,K562
380,380,chr4,958939,959039,-,3.915254684,K562
381,381,chr1,965340,965460,+,15.63988014,K562
382,382,chr1,965340,965460,+,15.63988014,K562
383,383,chr19,972760,972799,+,5.920842641,K562
384,384,chr19,972847,972933,+,11.9690766,HepG2
385,385,chr19,972974,973016,+,7.087014108,K562
386,386,chr19,974051,974100,+,7.061832456,K562
387,387,chr19,972687,972738,+,11.16450602,K562
388,388,chr19,972696,972722,+,6.17462069,HepG2
389,389,chr19,974664,974673,+,4.017282261,K562
390,390,chr19,974994,975043,+,6.082367162,HepG2
391,391,chr19,975218,975253,+,5.858969044,K562
392,392,chr19,974878,974955,+,12.10806133,K562
393,393,chr19,974872,974935,+,18.28037873,K562
394,394,chr7,997069,997126,-,5.229321962,K562
395,395,chr7,997069,997126,-,5.229321962,K562
396,396,chr7,997069,997126,-,5.229321962,K562
397,397,chr19,1009723,1009756,-,3.957620614,K562
398,398,chr19,1010379,1010448,-,10.61946316,K562
399,399,chr19,1009833,1009871,-,5.347881548,K562
400,400,chr19,1010195,1010205,-,4.017282261,K562
401,401,chr19,1009723,1009756,-,3.957620614,K562
402,402,chr19,1010020,1010136,-,23.8113527,K562
403,403,chr19,1010316,1010343,-,4.681982602,K562
404,404,chr19,1010645,1010691,-,8.902021202,K562
405,405,chr19,1010645,1010691,-,8.902021202,K562
406,406,chr19,1009833,1009871,-,5.347881548,K562
407,407,chr19,1010195,1010205,-,4.017282261,K562
408,408,chr19,1010316,1010343,-,4.681982602,K562
409,409,chr19,1010379,1010448,-,10.61946316,K562
410,410,chr19,1010020,1010136,-,23.8113527,K562
411,411,chr19,1009723,1009756,-,3.957620614,K562
412,412,chr19,1010195,1010205,-,4.017282261,K562
413,413,chr19,1009723,1009756,-,3.957620614,K562
414,414,chr19,1009833,1009871,-,5.347881548,K562
415,415,chr19,1010020,1010136,-,23.8113527,K562
416,416,chr19,1010316,1010343,-,4.681982602,K562
417,417,chr4,1025388,1025455,+,3.476468913,HepG2
418,418,chr4,1026663,1026766,+,5.266761796,K562
419,419,chr4,1026682,1026747,+,4.269339392,HepG2
420,420,chr4,1025388,1025455,+,3.476468913,HepG2
421,421,chr4,1025388,1025455,+,3.476468913,HepG2
422,422,chr4,1026682,1026747,+,4.269339392,HepG2
423,423,chr4,1026663,1026766,+,5.266761796,K562
424,424,chr4,1026682,1026747,+,4.269339392,HepG2
425,425,chr4,1026663,1026766,+,5.266761796,K562
426,426,chr10,1040433,1040502,-,6.752025261,HepG2
427,427,chr10,1040433,1040502,-,6.752025261,HepG2
428,428,chr5,1051003,1051051,-,3.915254684,K562
429,429,chr1,1055839,1055903,+,11.53692204,K562
430,430,chr1,1055862,1055901,+,9.691672752,HepG2
431,431,chr1,1055872,1055884,+,5.858969044,K562
432,432,chr1,1056028,1056073,+,5.37656421,K562
433,433,chr1,1055862,1055901,+,9.691672752,HepG2
434,434,chr1,1055049,1055123,+,55.40883518,HepG2
435,435,chr1,1056028,1056073,+,5.37656421,K562
436,436,chr1,1055872,1055884,+,5.858969044,K562
437,437,chr1,1055452,1055513,+,13.5642034,K562
438,438,chr1,1055652,1055704,+,8.046112985,HepG2
439,439,chr1,1055670,1055702,+,7.671003851,K562
440,440,chr1,1055051,1055154,+,42.88722748,K562
441,441,chr1,1055049,1055123,+,55.40883518,HepG2
442,442,chr1,1055452,1055513,+,13.5642034,K562
443,443,chr1,1055652,1055704,+,8.046112985,HepG2
444,444,chr1,1055747,1055810,+,11.74977523,K562
445,445,chr1,1055670,1055702,+,7.671003851,K562
446,446,chr1,1055819,1055882,+,16.9813411,HepG2
447,447,chr1,1055051,1055154,+,42.88722748,K562
448,448,chr1,1055839,1055903,+,11.53692204,K562
449,449,chr1,1055747,1055810,+,11.74977523,K562
450,450,chr1,1055819,1055882,+,16.9813411,HepG2
451,451,chr1,1081913,1082083,-,7.061832456,K562
452,452,chr1,1081913,1082083,-,7.061832456,K562
453,453,chr19,1086021,1086091,+,4.105895486,K562
454,454,chr19,1086021,1086091,+,4.105895486,K562
455,455,chr19,1086021,1086091,+,4.105895486,K562
456,456,chr19,1086021,1086091,+,4.105895486,K562
457,457,chr19,1086021,1086091,+,4.105895486,K562
458,458,chr19,1086021,1086091,+,4.105895486,K562
459,459,chr19,1088173,1088235,-,8.307859361,K562
460,460,chr19,1087435,1087493,-,4.628865613,K562
461,461,chr19,1088173,1088235,-,8.307859361,K562
462,462,chr19,1106704,1106736,+,4.782928436,K562
463,463,chr19,1106704,1106736,+,4.782928436,K562
464,464,chr19,1106704,1106736,+,4.782928436,K562
465,465,chr19,1106704,1106736,+,4.782928436,K562
466,466,chr19,1106704,1106736,+,4.782928436,K562
467,467,chr4,1167102,1167151,-,4.01631793,HepG2
468,468,chr4,1167102,1167151,-,4.01631793,HepG2
469,469,chr4,1167102,1167151,-,4.01631793,HepG2
470,470,chr4,1211927,1211987,-,5.577359118,HepG2
471,471,chr4,1212086,1212158,-,5.572357631,K562
472,472,chr4,1211927,1211987,-,5.577359118,HepG2
473,473,chr4,1212086,1212158,-,5.572357631,K562
474,474,chr19,1227807,1227845,+,3.424169967,K562
475,475,chr19,1227868,1227935,+,9.52300384,K562
476,476,chr19,1227807,1227845,+,3.424169967,K562
477,477,chr19,1227862,1227923,+,6.466272034,K562
478,478,chr19,1227868,1227935,+,9.52300384,K562
479,479,chr19,1227862,1227923,+,6.466272034,K562
480,480,chr19,1227823,1227862,+,3.610284393,K562
481,481,chr19,1227823,1227862,+,3.610284393,K562
482,482,chr1,1233679,1233766,+,3.36069115,K562
483,483,chr1,1254967,1255050,-,5.089872757,HepG2
484,484,chr1,1254967,1255050,-,5.089872757,HepG2
485,485,chr1,1254967,1255050,-,5.089872757,HepG2
486,486,chr19,1257940,1258013,+,20.56747966,HepG2
487,487,chr19,1258820,1258900,+,15.1152274,K562
488,488,chr19,1258860,1258897,+,12.03597993,K562
489,489,chr19,1258902,1258963,+,18.34097802,K562
490,490,chr19,1258908,1258956,+,27.96645562,HepG2
491,491,chr19,1257662,1257680,+,3.536314955,HepG2
492,492,chr19,1258902,1258963,+,18.34097802,K562
493,493,chr19,1258860,1258897,+,12.03597993,K562
494,494,chr19,1258734,1258785,+,13.6293574,K562
495,495,chr19,1258810,1258860,+,15.22649872,K562
496,496,chr19,1258729,1258787,+,11.04462016,K562
497,497,chr19,1257956,1258011,+,8.329970791,HepG2
498,498,chr19,1259004,1259047,+,7.658615338,HepG2
499,499,chr19,1258956,1258985,+,13.13655222,HepG2
500,500,chr19,1258918,1258974,+,20.49885854,HepG2
501,501,chr19,1258908,1258956,+,27.96645562,HepG2
502,502,chr19,1257940,1258013,+,20.56747966,HepG2
503,503,chr19,1259004,1259047,+,7.658615338,HepG2
504,504,chr19,1258956,1258985,+,13.13655222,HepG2
505,505,chr19,1258918,1258974,+,20.49885854,HepG2
506,506,chr19,1257662,1257680,+,3.536314955,HepG2
507,507,chr19,1257956,1258011,+,8.329970791,HepG2
508,508,chr19,1258734,1258785,+,13.6293574,K562
509,509,chr19,1258729,1258787,+,11.04462016,K562
510,510,chr19,1258810,1258860,+,15.22649872,K562
511,511,chr19,1258820,1258900,+,15.1152274,K562
512,512,chr19,1257940,1258013,+,20.56747966,HepG2
513,513,chr19,1257956,1258011,+,8.329970791,HepG2
514,514,chr19,1257662,1257680,+,3.536314955,HepG2
515,515,chr11,1276740,1276872,-,3.610284393,K562
516,516,chr11,1276740,1276872,-,3.610284393,K562
517,517,chr11,1276740,1276872,-,3.610284393,K562
518,518,chr11,1276740,1276872,-,3.610284393,K562
519,519,chr19,1279092,1279163,+,4.367798095,K562
520,520,chr19,1279093,1279136,+,3.693916752,HepG2
521,521,chr1,1292540,1292601,-,3.36069115,K562
522,522,chr6,1314149,1314170,+,7.947077623,HepG2
523,523,chr1,1335309,1335383,-,9.427952597,K562
524,524,chr1,1335685,1335709,-,10.50896064,K562
525,525,chr1,1335709,1335734,-,7.725388919,K562
526,526,chr1,1335374,1335513,-,16.69034854,K562
527,527,chr1,1335439,1335500,-,8.307859361,K562
528,528,chr1,1335309,1335383,-,9.427952597,K562
529,529,chr1,1335837,1335868,-,5.229321962,K562
530,530,chr1,1335835,1335875,-,4.308259517,K562
531,531,chr1,1335439,1335500,-,8.307859361,K562
532,532,chr1,1335835,1335875,-,4.308259517,K562
