ensembl_transcript_id,ensembl_gene_id,external_gene_name,description,DDX6_chrom,DDX6_start,DDX6_end,strand,confidence_score,sample_or_tissue_used,3UTR_chrom,3UTR_start,3UTR_end
ENST00000582707,ENSG00000101557,USP14,ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612],chr18,211304,211422,+,17.91811286,K562,chr18,211284,211391
ENST00000582707,ENSG00000101557,USP14,ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612],chr18,211304,211422,+,17.91811286,K562,chr18,211284,211997
ENST00000352303,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252749,252844,+,11.9361557,K562,chr11,252600,252984
ENST00000352303,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252699,252755,+,6.520826926,K562,chr11,252600,252984
ENST00000352303,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252844,252923,+,16.13059219,K562,chr11,252600,252984
ENST00000352303,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252844,252923,+,16.13059219,K562,chr11,252600,252984
ENST00000352303,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252755,252935,+,20.63113692,K562,chr11,252600,252981
ENST00000431206,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252844,252923,+,16.13059219,K562,chr11,252600,252981
ENST00000431206,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252608,252660,+,5.37656421,K562,chr11,252600,252984
ENST00000431206,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252608,252660,+,5.37656421,K562,chr11,252600,252981
ENST00000431206,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252755,252935,+,20.63113692,K562,chr11,252600,252984
ENST00000431206,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252749,252844,+,11.9361557,K562,chr11,252600,252981
ENST00000532097,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252699,252755,+,6.520826926,K562,chr11,252600,252953
ENST00000532097,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252608,252660,+,5.37656421,K562,chr11,252600,252953
ENST00000532097,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252755,252935,+,20.63113692,K562,chr11,252600,252953
ENST00000532097,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252608,252660,+,5.37656421,K562,chr11,252600,252984
ENST00000532097,ENSG00000185627,PSMD13,"proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]",chr11,252749,252844,+,11.9361557,K562,chr11,252600,252953
ENST00000651543,ENSG00000286001,,novel protein,chr5,256353,256413,+,3.266697184,K562,chr5,256333,256455
ENST00000264932,ENSG00000073578,SDHA,succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680],chr5,256471,256578,+,8.593988107,K562,chr5,256420,256679
ENST00000504309,ENSG00000073578,SDHA,succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680],chr5,256471,256578,+,8.593988107,K562,chr5,256420,256697
ENST00000510361,ENSG00000073578,SDHA,succinate dehydrogenase complex flavoprotein subunit A [Source:HGNC Symbol;Acc:HGNC:10680],chr5,256471,256578,+,8.593988107,K562,chr5,256420,257082
ENST00000313766,ENSG00000177706,FAM20C,FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140],chr7,260431,260487,+,4.232507593,HepG2,chr7,259980,260772
ENST00000301678,ENSG00000167930,FAM234A,family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163],chr16,265665,265695,+,3.016910938,HepG2,chr16,265022,266096
ENST00000301678,ENSG00000167930,FAM234A,family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163],chr16,265665,265695,+,3.016910938,HepG2,chr16,265022,266120
ENST00000301678,ENSG00000167930,FAM234A,family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163],chr16,265250,265295,+,3.424169967,K562,chr16,265022,266120
ENST00000301678,ENSG00000167930,FAM234A,family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163],chr16,265894,265939,+,3.36069115,K562,chr16,265022,266096
ENST00000399932,ENSG00000167930,FAM234A,family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163],chr16,265606,265652,+,4.52966126,HepG2,chr16,265022,266096
ENST00000399932,ENSG00000167930,FAM234A,family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163],chr16,265250,265295,+,3.424169967,K562,chr16,265022,266096
ENST00000399932,ENSG00000167930,FAM234A,family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163],chr16,265894,265939,+,3.36069115,K562,chr16,265022,266120
ENST00000399932,ENSG00000167930,FAM234A,family with sequence similarity 234 member A [Source:HGNC Symbol;Acc:HGNC:14163],chr16,265606,265652,+,4.52966126,HepG2,chr16,265022,266120
ENST00000399788,ENSG00000073614,KDM5A,lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886],chr12,282379,282457,-,6.193822605,HepG2,chr12,280056,285455
ENST00000399788,ENSG00000073614,KDM5A,lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886],chr12,281915,281943,-,3.693916752,HepG2,chr12,280056,285455
ENST00000399788,ENSG00000073614,KDM5A,lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886],chr12,282407,282462,-,9.588368006,HepG2,chr12,280056,285455
ENST00000399788,ENSG00000073614,KDM5A,lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886],chr12,284425,284461,-,3.199661376,HepG2,chr12,280056,285455
ENST00000399788,ENSG00000073614,KDM5A,lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886],chr12,281844,281889,-,4.545455288,HepG2,chr12,280056,285455
ENST00000399788,ENSG00000073614,KDM5A,lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886],chr12,281408,281457,-,4.640911235,HepG2,chr12,280056,285455
ENST00000399788,ENSG00000073614,KDM5A,lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886],chr12,284987,285040,-,5.2156211,HepG2,chr12,280056,285455
ENST00000399788,ENSG00000073614,KDM5A,lysine demethylase 5A [Source:HGNC Symbol;Acc:HGNC:9886],chr12,282091,282124,-,5.340467232,HepG2,chr12,280056,285455
ENST00000262320,ENSG00000103126,AXIN1,axin 1 [Source:HGNC Symbol;Acc:HGNC:903],chr16,287504,287568,-,9.053612933,K562,chr16,287439,288121
ENST00000262320,ENSG00000103126,AXIN1,axin 1 [Source:HGNC Symbol;Acc:HGNC:903],chr16,288074,288110,-,3.476468913,HepG2,chr16,287439,288121
ENST00000262320,ENSG00000103126,AXIN1,axin 1 [Source:HGNC Symbol;Acc:HGNC:903],chr16,288068,288107,-,4.628865613,K562,chr16,287439,288121
ENST00000262320,ENSG00000103126,AXIN1,axin 1 [Source:HGNC Symbol;Acc:HGNC:903],chr16,287513,287572,-,8.992954572,K562,chr16,287439,288121
ENST00000354866,ENSG00000103126,AXIN1,axin 1 [Source:HGNC Symbol;Acc:HGNC:903],chr16,287504,287568,-,9.053612933,K562,chr16,287440,288121
ENST00000354866,ENSG00000103126,AXIN1,axin 1 [Source:HGNC Symbol;Acc:HGNC:903],chr16,288074,288110,-,3.476468913,HepG2,chr16,287440,288121
ENST00000354866,ENSG00000103126,AXIN1,axin 1 [Source:HGNC Symbol;Acc:HGNC:903],chr16,287513,287572,-,8.992954572,K562,chr16,287440,288121
ENST00000354866,ENSG00000103126,AXIN1,axin 1 [Source:HGNC Symbol;Acc:HGNC:903],chr16,288068,288107,-,4.628865613,K562,chr16,287440,288121
ENST00000409479,ENSG00000142102,PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210],chr11,294904,294946,+,4.681982602,K562,chr11,294749,295258
ENST00000409548,ENSG00000142102,PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210],chr11,294904,294946,+,4.681982602,K562,chr11,294749,296107
ENST00000409548,ENSG00000142102,PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210],chr11,295406,295489,+,17.52889907,K562,chr11,294749,296107
ENST00000409548,ENSG00000142102,PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210],chr11,295406,295489,+,17.52889907,K562,chr11,294749,295676
ENST00000409655,ENSG00000142102,PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210],chr11,295396,295482,+,9.128818339,K562,chr11,294749,295676
ENST00000409655,ENSG00000142102,PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210],chr11,294904,294946,+,4.681982602,K562,chr11,294749,295676
ENST00000409655,ENSG00000142102,PGGHG,protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210],chr11,295396,295482,+,9.128818339,K562,chr11,294749,296107
ENST00000500893,ENSG00000247315,ZCCHC3,zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230],chr20,300230,300291,+,5.414279899,K562,chr20,298798,300321
ENST00000500893,ENSG00000247315,ZCCHC3,zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230],chr20,299324,299425,+,5.287361324,K562,chr20,298798,300321
ENST00000500893,ENSG00000247315,ZCCHC3,zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230],chr20,299152,299218,+,9.42383148,HepG2,chr20,298798,300321
ENST00000500893,ENSG00000247315,ZCCHC3,zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230],chr20,299376,299420,+,10.49543373,HepG2,chr20,298798,300321
ENST00000500893,ENSG00000247315,ZCCHC3,zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230],chr20,300237,300273,+,5.779849793,HepG2,chr20,298798,300321
ENST00000500893,ENSG00000247315,ZCCHC3,zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230],chr20,299215,299234,+,4.739795003,HepG2,chr20,298798,300321
ENST00000500893,ENSG00000247315,ZCCHC3,zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230],chr20,299331,299376,+,9.902473379,HepG2,chr20,298798,300321
ENST00000500893,ENSG00000247315,ZCCHC3,zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230],chr20,299135,299175,+,5.967101334,HepG2,chr20,298798,300321
ENST00000500893,ENSG00000247315,ZCCHC3,zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230],chr20,300219,300274,+,5.917793237,K562,chr20,298798,300321
ENST00000500893,ENSG00000247315,ZCCHC3,zinc finger CCHC-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16230],chr20,299672,299707,+,3.424169967,K562,chr20,298798,300321
ENST00000264819,ENSG00000105556,MIER2,MIER family member 2 [Source:HGNC Symbol;Acc:HGNC:29210],chr19,305700,305766,-,4.367798095,K562,chr19,305572,306689
ENST00000651543,ENSG00000286001,,novel protein,chr5,314796,314868,+,9.882761858,K562,chr5,314416,314955
ENST00000651543,ENSG00000286001,,novel protein,chr5,314796,314868,+,9.882761858,K562,chr5,314416,314974
ENST00000651543,ENSG00000286001,,novel protein,chr5,314621,314766,+,14.66354027,K562,chr5,314416,314955
ENST00000651543,ENSG00000286001,,novel protein,chr5,314493,314544,+,4.734599103,K562,chr5,314416,314955
ENST00000505221,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314493,314544,+,4.734599103,K562,chr5,314418,314806
ENST00000505221,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314661,314735,+,16.06774445,K562,chr5,314418,314806
ENST00000505221,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314796,314868,+,9.882761858,K562,chr5,314418,314806
ENST00000505221,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314621,314766,+,14.66354027,K562,chr5,314418,314806
ENST00000264933,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314621,314766,+,14.66354027,K562,chr5,314515,314969
ENST00000264933,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314796,314868,+,9.882761858,K562,chr5,314515,314974
ENST00000264933,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314661,314735,+,16.06774445,K562,chr5,314515,314969
ENST00000264933,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314493,314544,+,4.734599103,K562,chr5,314515,314974
ENST00000507528,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314796,314868,+,9.882761858,K562,chr5,314515,314974
ENST00000507528,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314621,314766,+,14.66354027,K562,chr5,314515,314974
ENST00000507528,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314661,314735,+,16.06774445,K562,chr5,314515,314974
ENST00000507528,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314493,314544,+,4.734599103,K562,chr5,314515,314974
ENST00000614778,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314621,314766,+,14.66354027,K562,chr5,314515,314974
ENST00000614778,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314796,314868,+,9.882761858,K562,chr5,314515,314974
ENST00000614778,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314493,314544,+,4.734599103,K562,chr5,314515,314969
ENST00000614778,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314661,314735,+,16.06774445,K562,chr5,314515,314974
ENST00000618970,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314796,314868,+,9.882761858,K562,chr5,314515,314969
ENST00000618970,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314621,314766,+,14.66354027,K562,chr5,314515,314974
ENST00000618970,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314661,314735,+,16.06774445,K562,chr5,314515,314974
ENST00000618970,ENSG00000249915,PDCD6,programmed cell death 6 [Source:HGNC Symbol;Acc:HGNC:8765],chr5,314493,314544,+,4.734599103,K562,chr5,314515,314974
ENST00000342665,ENSG00000177732,SOX12,SRY-box transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11198],chr20,328616,328690,+,20.02533175,HepG2,chr20,326872,330224
ENST00000342665,ENSG00000177732,SOX12,SRY-box transcription factor 12 [Source:HGNC Symbol;Acc:HGNC:11198],chr20,328589,328668,+,6.466817015,K562,chr20,326872,330224
ENST00000605035,ENSG00000112679,DUSP22,dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077],chr6,348980,349030,+,3.189448735,HepG2,chr6,348289,349057
ENST00000419235,ENSG00000112679,DUSP22,dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077],chr6,348980,349030,+,3.189448735,HepG2,chr6,348951,349102
ENST00000604971,ENSG00000112679,DUSP22,dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077],chr6,348980,349030,+,3.189448735,HepG2,chr6,348951,351353
ENST00000605315,ENSG00000112679,DUSP22,dual specificity phosphatase 22 [Source:HGNC Symbol;Acc:HGNC:16077],chr6,348980,349030,+,3.189448735,HepG2,chr6,348951,351355
ENST00000199706,ENSG00000086504,MRPL28,mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484],chr16,367475,367543,-,4.782928436,K562,chr16,366968,367674
ENST00000199706,ENSG00000086504,MRPL28,mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484],chr16,367445,367669,-,9.550521601,K562,chr16,366968,367674
ENST00000648346,ENSG00000086504,MRPL28,mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484],chr16,367475,367543,-,4.782928436,K562,chr16,366968,367674
ENST00000648346,ENSG00000086504,MRPL28,mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484],chr16,367445,367669,-,9.550521601,K562,chr16,366968,367674
ENST00000389675,ENSG00000086504,MRPL28,mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:14484],chr16,367445,367669,-,9.550521601,K562,chr16,367612,367674
ENST00000431232,ENSG00000129925,PGAP6,post-GPI attachment to proteins 6 [Source:HGNC Symbol;Acc:HGNC:17205],chr16,371091,371155,-,7.013993118,HepG2,chr16,370787,371986
ENST00000431232,ENSG00000129925,PGAP6,post-GPI attachment to proteins 6 [Source:HGNC Symbol;Acc:HGNC:17205],chr16,371174,371217,-,5.340467232,HepG2,chr16,370787,371986
ENST00000217233,ENSG00000101255,TRIB3,tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228],chr20,396849,396893,+,3.36069115,K562,chr20,396690,397559
ENST00000331563,ENSG00000184363,PKP3,plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025],chr11,404576,404653,+,11.2539733,K562,chr11,404569,404908
ENST00000331563,ENSG00000184363,PKP3,plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025],chr11,404823,404891,+,34.19218095,K562,chr11,404569,404908
ENST00000331563,ENSG00000184363,PKP3,plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025],chr11,404750,404823,+,33.28908758,K562,chr11,404569,404908
ENST00000331563,ENSG00000184363,PKP3,plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025],chr11,404583,404644,+,22.27068939,K562,chr11,404569,404908
ENST00000331563,ENSG00000184363,PKP3,plakophilin 3 [Source:HGNC Symbol;Acc:HGNC:9025],chr11,404726,404874,+,400,K562,chr11,404569,404908
ENST00000354200,ENSG00000125875,TBC1D20,TBC1 domain family member 20 [Source:HGNC Symbol;Acc:HGNC:16133],chr20,438126,438188,-,3.189448735,HepG2,chr20,435479,438585
ENST00000681129,ENSG00000125875,TBC1D20,TBC1 domain family member 20 [Source:HGNC Symbol;Acc:HGNC:16133],chr20,438126,438188,-,3.189448735,HepG2,chr20,435491,438585
ENST00000681414,ENSG00000125875,TBC1D20,TBC1 domain family member 20 [Source:HGNC Symbol;Acc:HGNC:16133],chr20,438126,438188,-,3.189448735,HepG2,chr20,435491,438585
ENST00000679895,ENSG00000125875,TBC1D20,TBC1 domain family member 20 [Source:HGNC Symbol;Acc:HGNC:16133],chr20,438126,438188,-,3.189448735,HepG2,chr20,435496,438585
ENST00000681551,ENSG00000125875,TBC1D20,TBC1 domain family member 20 [Source:HGNC Symbol;Acc:HGNC:16133],chr20,438126,438188,-,3.189448735,HepG2,chr20,435501,438585
ENST00000382329,ENSG00000107099,DOCK8,dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191],chr9,464414,464509,+,7.678728501,K562,chr9,464219,465259
ENST00000382329,ENSG00000107099,DOCK8,dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191],chr9,464414,464509,+,7.678728501,K562,chr9,464219,465255
ENST00000432829,ENSG00000107099,DOCK8,dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191],chr9,464846,464919,+,3.805119784,K562,chr9,464219,465255
ENST00000432829,ENSG00000107099,DOCK8,dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191],chr9,464414,464509,+,7.678728501,K562,chr9,464219,464526
ENST00000453981,ENSG00000107099,DOCK8,dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191],chr9,464846,464919,+,3.805119784,K562,chr9,464219,465255
ENST00000453981,ENSG00000107099,DOCK8,dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191],chr9,464414,464509,+,7.678728501,K562,chr9,464219,465255
ENST00000469391,ENSG00000107099,DOCK8,dedicator of cytokinesis 8 [Source:HGNC Symbol;Acc:HGNC:19191],chr9,464846,464919,+,3.805119784,K562,chr9,464219,465259
ENST00000217244,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,481382,481483,-,7.958015499,K562,chr20,472497,483960
ENST00000217244,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,483539,483580,-,5.2156211,HepG2,chr20,472497,483960
ENST00000217244,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,481389,481487,-,11.96066521,K562,chr20,472497,483960
ENST00000217244,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,481382,481483,-,7.958015499,K562,chr20,472497,483960
ENST00000646561,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,481389,481487,-,11.96066521,K562,chr20,472497,483960
ENST00000646561,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,482600,482655,-,5.050337254,HepG2,chr20,472497,483960
ENST00000646561,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,482600,482655,-,5.050337254,HepG2,chr20,472497,483960
ENST00000646561,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,483539,483580,-,5.2156211,HepG2,chr20,472497,483960
ENST00000349736,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,481382,481483,-,7.958015499,K562,chr20,481109,483960
ENST00000349736,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,482600,482655,-,5.050337254,HepG2,chr20,481109,483960
ENST00000349736,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,483539,483580,-,5.2156211,HepG2,chr20,481109,483960
ENST00000349736,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,481389,481487,-,11.96066521,K562,chr20,481109,483960
ENST00000646305,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,482600,482655,-,5.050337254,HepG2,chr20,481191,483960
ENST00000646305,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,481389,481487,-,11.96066521,K562,chr20,481191,483960
ENST00000646305,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,483539,483580,-,5.2156211,HepG2,chr20,481191,483960
ENST00000646305,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,481382,481483,-,7.958015499,K562,chr20,481191,483960
ENST00000645260,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,483539,483580,-,5.2156211,HepG2,chr20,481622,483960
ENST00000645260,ENSG00000101266,CSNK2A1,casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457],chr20,482600,482655,-,5.050337254,HepG2,chr20,481622,483960
